Company,Status
Akouos,Acquired
Ambrx Biopharma,Acquired
Calliditas Therapeutics,Acquired
Checkmate Pharmaceuticals,Acquired
Cincor Pharma,Acquired
Decibel Therapeutics,Acquired
Dice Therapeutics,Acquired
Exscientia,Acquired
Forma Therapeutics,Acquired
Freeline Therapeutics,Acquired
Fusion Pharmaceuticals,Acquired
Gracell Biotechnologies,Acquired
Icosavax,Acquired
Imago BioSciences,Acquired
Kinnate Biopharma,Acquired
Landos Biopharma,Acquired
Pandion Therapeutics,Acquired
Poseida Therapeutics,Acquired
Prometheus Biosciences,Acquired
Rain Therapeutics,Acquired
Sigilon Therapeutics,Acquired
Theseus Pharmaceuticals,Acquired
Vigil Neuroscience,Acquired
Codiak Biosciences,Bankrupt
Impel NeuroPharma,Bankrupt
Omega Therapeutics,Bankrupt
Orphazyme,Bankrupt
LianBio,Liquidated
Cyteir Therapeutics,Liquidated
Metacrine,Liquidated
Oncorus,Liquidated
SQZ Biotechnologies,Liquidated
4D Molecular Therapeutics,Listed
Absci,Listed
Achilles Therapeutics,Listed
Acumen Pharmaceuticals,Listed
Acurx Pharmaceuticals,Listed
Adagene,Listed
Adagio Therapeutics,Listed
ADC Therapeutics SA,Listed
Aditx Therapeutics,Listed
Aligos Therapeutics,Listed
ALX Oncology,Listed
Alzamend Neuro,Listed
Amylyx Pharmaceuticals,Listed
AN2 Ther­a­peu­tics,Listed
Anebulo Pharmaceuticals,Listed
Annexon,Listed
Ar­cel­lx,Listed
atai Life Sciences,Listed
Atea Pharmaceuticals,Listed
Athira Pharma,Listed
Aura Biosciences,Listed
Avidity Biosciences,Listed
BioAtla,Listed
Biomea Fusion,Listed
Blue Wa­ter Vaccines,Listed
Bolt Biotherapeutics,Listed
C4 Therapeutics,Listed
Candel Therapeutics,Listed
Caribou Biosciences,Listed
Centessa Pharmaceuticals,Listed
Century Therapeutics,Listed
Cognition Therapeutics,Listed
COMPASS Pathways,Listed
Connect Biopharma,Listed
Context Therapeutics,Listed
Cullinan Management (Oncology),Listed
CureVac,Listed
Day One Biopharmaceuticals,Listed
Dermata Therapeutics,Listed
Design Therapeutics,Listed
Dyne Therapeutics,Listed
Edgewise Therapeutics,Listed
Elevation Oncology,Listed
Eliem Therapeutics,Listed
Erasca,Listed
Evaxion Biotech,Listed
Foghorn Therapeutics,Listed
Gain Therapeutics,Listed
Galecto,Listed
Generation Bio Co.,Listed
GH Research,Listed
Harmony Biosciences,Listed
HCW Biologics,Listed
Hillstream BioPharma,Listed
Ikena Oncology,Listed
Immuneering,Listed
Immunocore,Listed
IN8bio,Listed
Inhibrx,Listed
Inozyme Pharma,Listed
Instil Bio,Listed
Inventiva,Listed
IO Biotech,Listed
iTeos Therapeutics,Listed
Janux Therapeutics,Listed
Keros Therapeutics,Listed
Kiromic Biopharma,Listed
Kronos Bio,Listed
Kymera Therapeutics,Listed
Lantern Pharma,Listed
LAVA Therapeutics,Listed
Legend Biotech Corporation,Listed
Longboard Pharmaceuticals,Listed
Lyell Immunopharma,Listed
Lyra Therapeutics,Listed
Molecular Partners,Listed
Monte Rosa Therapeutics,Listed
Nanobiotix,Listed
NexImmune,Listed
NKarta,Listed
Nurix Therapeutics,Listed
Nuvalent,Listed
Nu­vec­tis Phar­ma,Listed
Olema Pharmaceuticals,Listed
Opthea,Listed
ORIC Pharmaceuticals,Listed
Pharvaris,Listed
Pliant Therapeutics,Listed
PMV Pharmaceuticals,Listed
PolyPid,Listed
Praxis Precision Medicines,Listed
Prelude Therapeutics,Listed
Pyxis Oncology,Listed
Rallybio,Listed
Rani Therapeutics,Listed
Recursion Pharmaceuticals,Listed
Relay Therapeutics,Listed
Reneo Pharmaceuticals,Listed
Repare Therapeutics Inc.,Listed
Sana Biotechnology,Listed
Sensei Biotherapeutics,Listed
Shattuck Labs,Listed
Tarsus Pharmaceuticals,Listed
Taysha Gene Therapies,Listed
TC Bio­pharm,Listed
Tenaya Therapeutics,Listed
Terns Pharmaceuticals,Listed
TransCode Therapeutics,Listed
TScan Therapeutics,Listed
Tyra Biosciences,Listed
Vaccitech,Listed
Valneva,Listed
Vaxcyte,Listed
Vaxxinity,Listed
VectivBio,Listed
Ventyx Biosciences,Listed
Vera Therapeutics,Listed
Verve Therapeutics,Listed
Vor Biopharma,Listed
Werewolf Therapeutics,Listed
Xilio Therapeutics,Listed
Zentalis Pharmaceuticals,Listed
Biophytis,OTC Trading
Finch Therapeutics,OTC Trading
Spruce Biosciences,OTC Trading
Ayala Pharmaceuticals,OTC Trading
Aerovate Therapeutics,Reverse Merged
AlloVir,Reverse Merged
Angion Biomedica,Reverse Merged
Applied Molecular Transport,Reverse Merged
Graphite Bio,Reverse Merged
Graybug Vision,Reverse Merged
Immunome,Reverse Merged
Silverback Therapeutics,Reverse Merged
Talaris Therapeutics,Reverse Merged
Virios Therapeutics,Reverse Merged